DEBUG:root:x,y,area_p,Ax,Ay
DEBUG:root:449,370,9,59,-34
DEBUG:root:435,354,9,59,-25
DEBUG:root:437,336,8,56,-5
DEBUG:root:487,328,7,59,59
DEBUG:root:519,313,7,59,60
DEBUG:root:522,330,7,59,60
DEBUG:root:640,312,5,-36,60
DEBUG:root:744,296,7,-59,60
DEBUG:root:915,257,3,-60,60
DEBUG:root:875,352,7,-60,60
DEBUG:root:798,366,6,-59,60
DEBUG:root:728,368,10,-59,60
DEBUG:root:707,362,8,-59,60
DEBUG:root:631,366,9,45,60
DEBUG:root:508,354,8,42,5
DEBUG:root:321,363,8,60,-59
DEBUG:root:264,372,7,60,-59
DEBUG:root:260,382,7,60,-59
DEBUG:root:210,390,7,60,-54
DEBUG:root:223,392,7,60,-57
DEBUG:root:302,400,7,60,-59
DEBUG:root:338,381,7,60,-59
DEBUG:root:393,371,8,59,-46
DEBUG:root:484,364,7,20,-34
DEBUG:root:542,355,8,54,51
DEBUG:root:558,347,8,59,60
DEBUG:root:596,345,11,59,60
DEBUG:root:634,348,9,23,60
DEBUG:root:622,344,10,48,60
DEBUG:root:583,351,8,59,60
DEBUG:root:584,366,10,59,60
DEBUG:root:501,311,6,59,60
DEBUG:root:489,318,5,59,59
DEBUG:root:415,328,6,59,6
DEBUG:root:419,349,6,59,-25
DEBUG:root:400,362,6,59,-40
DEBUG:root:378,364,5,59,-42
DEBUG:root:226,112,0,60,59
DEBUG:root:356,424,9,60,-59
DEBUG:root:393,445,10,60,-59
DEBUG:root:393,457,11,60,-59
DEBUG:root:457,445,12,59,-55
DEBUG:root:215,112,0,60,59
DEBUG:root:528,446,13,55,-55
DEBUG:root:23,92,0,60,60
DEBUG:root:289,109,0,60,59
DEBUG:root:705,425,9,-59,60
DEBUG:root:354,108,0,59,60
DEBUG:root:893,477,9,-60,60
DEBUG:root:116,89,1,60,60
DEBUG:root:454,94,0,11,60
DEBUG:root:190,85,1,60,59
DEBUG:root:508,105,0,-59,60
DEBUG:root:722,111,0,-60,60
DEBUG:root:272,106,1,60,59
DEBUG:root:583,111,0,-59,60
DEBUG:root:303,111,0,60,59
DEBUG:root:636,124,0,-60,60
DEBUG:root:871,129,0,-60,60
DEBUG:root:363,133,1,59,60
DEBUG:root:684,143,1,-60,60
DEBUG:root:927,146,0,-60,60
DEBUG:root:695,148,1,-60,60
DEBUG:root:936,147,0,-60,60
DEBUG:root:354,162,1,60,59
DEBUG:root:687,161,1,-60,60
DEBUG:root:932,161,0,-60,60
DEBUG:root:345,161,1,60,59
DEBUG:root:686,166,1,-60,60
DEBUG:root:933,164,0,-60,60
DEBUG:root:878,540,8,-59,60
DEBUG:root:819,546,13,-59,-59
DEBUG:root:705,181,1,-60,60
DEBUG:root:720,575,19,-58,-59
DEBUG:root:448,202,1,59,60
DEBUG:root:716,589,17,-58,-59
DEBUG:root:449,218,2,59,60
DEBUG:root:705,596,14,-57,-59
DEBUG:root:820,223,1,-60,60
DEBUG:root:435,237,2,59,60
DEBUG:root:839,238,1,-60,60
DEBUG:root:447,256,2,59,60
DEBUG:root:713,630,4,-53,-59
DEBUG:root:486,291,2,59,60
DEBUG:root:430,294,2,59,59
DEBUG:root:791,407,21,-59,60
DEBUG:root:305,611,13,60,-60
DEBUG:root:81,606,5,60,-60
DEBUG:root:831,241,7,-60,60
DEBUG:root:651,231,6,-59,60
DEBUG:root:531,204,6,52,60
DEBUG:root:539,199,6,8,60
DEBUG:root:541,197,6,-13,60
DEBUG:root:388,226,8,59,59
DEBUG:root:374,290,10,59,59
DEBUG:root:358,333,10,59,-35
DEBUG:root:358,348,9,59,-34
DEBUG:root:349,421,14,60,-59
DEBUG:root:338,510,19,60,-59
DEBUG:root:343,524,16,60,-59
DEBUG:root:374,567,12,60,-59
DEBUG:root:413,601,11,60,-60
DEBUG:root:307,619,14,60,-60
DEBUG:root:270,601,17,60,-59
DEBUG:root:476,368,96,29,-36
DEBUG:root:476,350,111,35,-20
DEBUG:root:525,358,112,38,13
DEBUG:root:518,357,98,37,4
DEBUG:root:414,370,77,59,-41
DEBUG:root:413,365,78,59,-38
DEBUG:root:403,353,81,59,-34
DEBUG:root:161,362,31,60,45
DEBUG:root:450,357,44,56,-29
DEBUG:root:728,367,47,-59,60
DEBUG:root:192,39,0,60,59
DEBUG:root:218,39,0,60,59
DEBUG:root:225,40,0,60,59
DEBUG:root:206,42,0,60,59
DEBUG:root:266,55,0,60,59
DEBUG:root:717,362,51,-59,60
DEBUG:root:302,68,0,59,59
DEBUG:root:605,354,76,59,60
DEBUG:root:538,350,86,58,58
DEBUG:root:492,345,95,55,34
DEBUG:root:526,358,89,39,15
DEBUG:root:468,356,102,31,-30
DEBUG:root:467,362,90,34,-33
DEBUG:root:781,406,31,-59,60
DEBUG:root:549,355,79,58,59
